open_time,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,symbol
2024-01-14 14:47:00,42787.0,42787.1,42785.0,42786.1,16.534,707428.3633,737,7.773,332576.702,BTCUSDT
2024-01-14 14:48:00,42786.1,42789.0,42786.0,42788.9,17.954,768223.7428,565,12.321,527195.3104,BTCUSDT
2024-01-14 14:49:00,42788.9,42796.1,42787.7,42791.9,50.735,2171004.2445,1257,31.739,1358160.1203,BTCUSDT
2024-01-14 14:50:00,42791.9,42796.1,42786.7,42786.7,65.954,2822268.1794,1065,39.08,1672268.6561,BTCUSDT
2024-01-14 14:51:00,42786.8,42796.0,42780.0,42794.6,44.883,1920263.2368,889,18.944,810487.5512,BTCUSDT
2024-01-14 14:52:00,42794.6,42814.4,42790.3,42803.1,241.026,10316171.44139,2313,186.47,7980735.74979,BTCUSDT
2024-01-14 14:53:00,42803.2,42803.2,42783.1,42783.4,42.958,1838193.6819,1470,12.566,537645.7601,BTCUSDT
2024-01-14 14:54:00,42783.4,42783.4,42778.5,42778.5,29.227,1250334.6147,919,2.261,96726.2126,BTCUSDT
2024-01-14 14:55:00,42778.5,42788.6,42773.0,42778.5,30.551,1306965.3404,770,10.132,433439.072,BTCUSDT
2024-01-14 14:56:00,42778.5,42778.5,42752.2,42756.5,71.098,3040427.1985,1154,4.514,193015.105,BTCUSDT
2024-01-14 14:57:00,42756.5,42760.0,42753.0,42753.1,23.506,1004999.7403,621,6.829,291977.4198,BTCUSDT
2024-01-14 14:58:00,42753.0,42757.4,42748.4,42748.4,35.559,1520271.0393,719,10.576,452168.419,BTCUSDT
2024-01-14 14:59:00,42748.4,42758.6,42748.0,42757.5,39.031,1668733.393,808,29.85,1276202.3507,BTCUSDT
2024-01-14 15:00:00,42757.5,42776.6,42755.1,42776.5,69.059,2952885.7121,940,32.842,1404338.0554,BTCUSDT
2024-01-14 15:01:00,42776.6,42796.2,42776.5,42781.8,61.718,2640838.3194,852,16.686,713921.9287,BTCUSDT
2024-01-14 15:02:00,42781.8,42781.9,42760.9,42771.5,60.949,2606760.0906,1055,34.202,1462642.1198,BTCUSDT
2024-01-14 15:03:00,42771.4,42791.9,42771.4,42784.4,33.829,1447369.3764,1050,22.223,950804.2205,BTCUSDT
2024-01-14 15:04:00,42784.4,42796.4,42784.4,42794.3,29.156,1247584.0658,751,17.271,739004.9282,BTCUSDT
2024-01-14 15:05:00,42794.2,42815.3,42792.9,42812.6,102.37,4381900.4937,1390,94.317,4037185.0548,BTCUSDT
2024-01-14 15:06:00,42812.6,42818.1,42811.9,42812.6,75.408,3228520.4456,1342,30.851,1320835.2216,BTCUSDT
2024-01-14 15:07:00,42812.5,42815.2,42805.7,42806.7,49.144,2103887.7256,1313,20.511,878100.4293,BTCUSDT
2024-01-14 15:08:00,42806.7,42806.8,42800.5,42800.5,22.537,964645.1601,846,7.789,333383.8023,BTCUSDT
2024-01-14 15:09:00,42800.5,42800.6,42796.6,42796.6,18.222,779870.8272,617,4.243,181589.8151,BTCUSDT
2024-01-14 15:10:00,42796.6,42840.0,42796.6,42835.2,144.048,6168437.3824,2500,117.877,5047505.9211,BTCUSDT
2024-01-14 15:11:00,42835.6,42871.4,42835.6,42859.0,195.669,8385249.9089,3296,130.883,5608737.187,BTCUSDT
2024-01-14 15:12:00,42859.0,42859.1,42842.1,42842.1,63.638,2726870.7786,1753,25.526,1093755.9476,BTCUSDT
2024-01-14 15:13:00,42842.1,42855.7,42842.1,42855.6,49.97,2141197.4854,748,34.926,1496547.0977,BTCUSDT
2024-01-14 15:14:00,42855.7,42879.9,42855.7,42873.6,100.073,4290005.3196,2375,65.337,2800791.2399,BTCUSDT
2024-01-14 15:15:00,42873.5,42880.1,42855.0,42855.1,160.074,6862045.6567,2267,76.08,3261330.4073,BTCUSDT
2024-01-14 15:16:00,42855.0,42855.1,42845.6,42845.7,80.838,3463988.3565,1343,17.661,756808.5528,BTCUSDT
2024-01-14 15:17:00,42845.7,42857.4,42845.6,42854.2,45.211,1937368.219,1334,25.578,1096040.7994,BTCUSDT
2024-01-14 15:18:00,42854.3,42866.1,42854.2,42858.3,42.893,1838412.1305,947,28.199,1208611.156,BTCUSDT
2024-01-14 15:19:00,42858.3,42866.0,42854.6,42854.6,44.019,1886685.6664,1090,21.14,906105.1523,BTCUSDT
2024-01-14 15:20:00,42854.6,42861.9,42854.2,42861.9,26.394,1131121.7599,819,11.489,492369.0895,BTCUSDT
2024-01-14 15:21:00,42861.8,42870.8,42855.5,42870.7,47.082,2018133.8318,1332,26.844,1150636.8783,BTCUSDT
2024-01-14 15:22:00,42870.7,42896.8,42867.5,42867.5,109.648,4701986.5501,1997,66.407,2847763.3533,BTCUSDT
2024-01-14 15:23:00,42867.4,42873.3,42861.2,42869.1,53.495,2293198.4235,1199,19.154,821079.9619,BTCUSDT
2024-01-14 15:24:00,42869.0,42873.2,42868.9,42873.2,17.934,768817.3746,575,7.821,335281.5364,BTCUSDT
2024-01-14 15:25:00,42873.2,42891.6,42873.1,42891.6,40.493,1736548.957,938,29.257,1254681.2753,BTCUSDT
2024-01-14 15:26:00,42891.6,42891.6,42875.7,42875.8,74.79,3207378.151,1159,17.427,747360.0067,BTCUSDT
2024-01-14 15:27:00,42875.7,42876.9,42868.9,42874.9,39.396,1689060.8566,848,22.91,982236.0378,BTCUSDT
2024-01-14 15:28:00,42875.0,42890.0,42874.9,42889.9,41.723,1789273.8112,763,36.95,1584591.7632,BTCUSDT
2024-01-14 15:29:00,42890.0,42895.7,42889.9,42893.9,38.521,1652273.5469,1006,21.259,911856.2919,BTCUSDT
2024-01-14 15:30:00,42893.9,42894.3,42883.8,42883.8,48.205,2067627.2004,1085,17.281,741233.4445,BTCUSDT
2024-01-14 15:31:00,42883.8,42889.5,42876.7,42884.3,81.281,3485504.1606,1259,34.359,1473369.0452,BTCUSDT
2024-01-14 15:32:00,42884.3,42889.5,42884.2,42884.8,25.904,1110939.3869,709,11.813,506614.9758,BTCUSDT
2024-01-14 15:33:00,42884.8,42884.9,42869.2,42870.7,47.405,2032410.1627,941,8.12,348132.1379,BTCUSDT
2024-01-14 15:34:00,42870.6,42881.3,42869.2,42869.2,37.323,1600185.7407,652,11.885,509550.4648,BTCUSDT
2024-01-14 15:35:00,42869.2,42869.2,42841.8,42858.7,121.945,5225708.6666,1614,26.182,1121916.7355,BTCUSDT
2024-01-14 15:36:00,42858.7,42858.8,42858.7,42858.8,14.22,609450.978,411,2.64,113147.232,BTCUSDT
2024-01-14 15:37:00,42858.7,42858.8,42840.0,42846.2,74.622,3197280.5156,1399,24.635,1055461.3217,BTCUSDT
2024-01-14 15:38:00,42846.2,42860.7,42846.1,42848.7,53.123,2276482.4048,779,37.778,1618885.469,BTCUSDT
2024-01-14 15:39:00,42848.7,42854.0,42840.7,42853.9,34.364,1472345.9097,679,17.512,750300.6131,BTCUSDT
2024-01-14 15:40:00,42853.9,42868.0,42853.9,42868.0,20.191,865469.2418,566,13.099,561468.9183,BTCUSDT
2024-01-14 15:41:00,42868.0,42868.0,42850.0,42850.0,40.268,1725855.856,666,5.306,227413.978,BTCUSDT
2024-01-14 15:42:00,42850.0,42850.1,42850.0,42850.0,14.443,618883.3839,462,8.339,357326.9839,BTCUSDT
2024-01-14 15:43:00,42850.0,42850.1,42838.9,42842.6,39.897,1709474.2846,818,6.18,264795.7262,BTCUSDT
2024-01-14 15:44:00,42842.5,42857.9,42842.5,42857.9,27.171,1164286.4971,586,18.796,805416.1785,BTCUSDT
2024-01-14 15:45:00,42858.0,42888.8,42857.9,42888.8,50.009,2144296.4333,886,35.857,1537420.3568,BTCUSDT
2024-01-14 15:46:00,42888.8,42953.0,42888.7,42932.3,395.679,16985081.8824,4370,289.146,12411935.6272,BTCUSDT
2024-01-14 15:47:00,42932.3,42932.3,42910.0,42910.0,50.176,2153635.6042,1010,15.548,667319.066,BTCUSDT
